"day"	"slot"	"time"	"pillar"	"topic"	"visual"	"caption"	"cta"	"link"	"status"
"1"	"AM"	"09:00"	"Product company"	"YC Systems ecosystem"	"assets/social/active-feed/07-soluciones-reales.jpg"	"YC Systems builds software products and digital systems for real businesses. Websites, ecommerce, CRM, dashboards, SaaS and automations with one goal: help the business sell better and operate better."	"Write PROYECTO and we review your idea."	"https://ycsystems.io/contact/"	"Posted"
"1"	"PM"	"14:00"	"Education"	"Why a website must sell trust"	"assets/social/active-feed/01-web-confianza.jpg"	"A professional website is not just a digital card. It must explain your offer, show trust, guide the visitor and make it easy to contact you. YC Systems builds websites with business purpose."	"Ask for a website ready to sell."	"https://ycsystems.io/contact/"	"Posted"
"1"	"NIGHT"	"19:00"	"Sales CTA"	"Start your project"	"assets/social/active-feed/10-proceso-primero.jpg"	"If your business needs a website, online store, CRM, dashboard, SaaS MVP or internal system, start with a clear proposal. YC Systems helps you move from idea to digital solution."	"Start your project with YC Systems."	"https://ycsystems.io/contact/"	"Posted"
"2"	"AM"	"09:00"	"Product"	"CleanLoop SaaS"	"assets/social/active-feed/05-saas-mvp.jpg"	"CleanLoop shows the kind of SaaS YC Systems can build: customers, orders, pickups, deliveries, drivers, payments, maps, roles and admin panels in one platform."	"Talk to us about your SaaS MVP."	"https://ycsystems.io/contact/"	"Posted"
"2"	"PM"	"14:00"	"Education"	"Excel to system"	"assets/social/active-feed/02-sistema-excel-whatsapp.jpg"	"When a business depends on Excel and WhatsApp for every task, it is time to build a system. A custom platform can organize clients, payments, reservations, tasks and reports."	"Write SISTEMA and we review your operation."	"https://ycsystems.io/contact/"	"Posted"
"2"	"NIGHT"	"19:00"	"Trust"	"Real projects"	"assets/social/active-feed/07-soluciones-reales.jpg"	"YC Systems está creciendo con productos y casos reales: CleanLoop, SOC, BrokerControl, CreditPilot, LucianoWash y GhostWear como caso de cliente e-commerce. Esto es software con dirección, no solo pantallas bonitas."	"Mira lo que podemos construir para tu negocio."	"https://ycsystems.io/projects/"	"Posted"
"3"	"AM"	"09:00"	"Caso real"	"GhostWear: tienda online real"	"assets/social/active-feed/04-tienda-vende.jpg"	"GhostWear demuestra como una marca puede pasar de idea a tienda online real: identidad, catalogo visual, productos, carrito, experiencia movil y pedido por WhatsApp. Eso es presencia digital lista para vender."	"Escribe TIENDA si quieres vender productos con una experiencia online profesional."	"https://ycsystems.io/contact/"	"Posted"
"3"	"PM"	"14:00"	"Caso real"	"GhostWear: tienda online real"	"assets/social/active-feed/04-tienda-vende.jpg"	"GhostWear demuestra como una marca puede pasar de idea a tienda online real: identidad, catalogo visual, productos, carrito, experiencia movil y pedido por WhatsApp. Una marca similar puede vender con mas confianza cuando su presencia digital esta bien construida."	"Escribe TIENDA si quieres lanzar o mejorar tu tienda online."	"https://ycsystems.io/contact/"	"Posted"
"3"	"NIGHT"	"19:00"	"Venta"	"Empieza tu proyecto con YC Systems"	"assets/social/active-feed/10-proceso-primero.jpg"	"Si tu negocio necesita web, tienda online, CRM, dashboard, SaaS MVP, sistema interno, automatizacion o mantenimiento, el primer paso es una propuesta clara: objetivo, alcance, prioridad y resultado esperado."	"Escribe PROYECTO y empezamos con una propuesta inicial."	"https://ycsystems.io/contact/"	"Posted"
"4"	"AM"	"09:00"	"Problema"	"Tu negocio crecio, pero tu operacion sigue manual"	"assets/social/active-feed/02-sistema-excel-whatsapp.jpg"	"Si cada pedido, cliente o tarea depende de WhatsApp, Excel y memoria, tu negocio esta creciendo con friccion. YC Systems convierte procesos manuales en sistemas internos con roles, estados, reportes y control."	"Escribe SISTEMA y revisamos que parte de tu operacion podemos digitalizar."	"https://ycsystems.io/contact/"	"Posted"
"4"	"PM"	"14:00"	"Brand"	"Conoce a Nexus, el asistente digital de YC Systems"	"assets/social/active-feed/07-soluciones-reales.jpg"	"Hoy presentamos a Nexus, el asistente visual de YC Systems. Nexus representa nuestra forma de construir: analizamos operaciones reales, disenamos sistemas claros y convertimos ideas en productos digitales listos para crecer. YC Systems no es solo desarrollo: es software, productos y soluciones para empresas que quieren operar mejor."	"Conoce nuestro ecosistema y escribe PROYECTO si quieres iniciar una solucion para tu negocio."	"https://ycsystems.io/"	"Posted"
"4"	"NIGHT"	"19:00"	"Venta"	"Tu negocio necesita una web que venda confianza"	"assets/social/active-feed/01-web-confianza.jpg"	"Una pagina web profesional no es solo diseno. Debe explicar que haces, mostrar confianza, guiar al cliente y convertir visitas en contactos reales. YC Systems construye presencia digital clara para negocios que quieren verse serios y vender mejor."	"Escribe WEB si quieres una pagina profesional para tu negocio."	"https://ycsystems.io/contact/"	"Posted"
"5"	"AM"	"09:00"	"Venta"	"Si todo depende de Excel y WhatsApp, necesitas un sistema"	"assets/social/active-feed/02-sistema-excel-whatsapp.jpg"	"Cuando los clientes, pedidos, tareas o reportes viven en mensajes sueltos, el negocio pierde control. YC Systems crea sistemas internos con roles, estados, formularios, reportes y dashboards para operar con mas claridad."	"Escribe SISTEMA si quieres ordenar tu operacion."	"https://ycsystems.io/contact/"	"Posted"
"5"	"NIGHT"	"19:00"	"Venta"	"Una tienda online debe vender, no solo verse bonita"	"assets/social/active-feed/04-tienda-vende.jpg"	"Una tienda o catalogo digital debe mostrar productos, responder dudas, recibir pedidos y facilitar el contacto. YC Systems construye experiencias listas para vender desde movil, WhatsApp y web."	"Escribe TIENDA si quieres vender mejor online."	"https://ycsystems.io/contact/"	"Posted"
"6"	"AM"	"09:00"	"Venta"	"Tu idea puede convertirse en un SaaS MVP"	"assets/social/active-feed/05-saas-mvp.jpg"	"Si tienes una idea de plataforma, app o producto digital, el primer paso no es hacerlo enorme. Es definir el problema, crear un MVP claro y probarlo con usuarios reales. YC Systems te ayuda a construir esa primera version."	"Escribe SAAS si quieres convertir tu idea en producto."	"https://ycsystems.io/contact/"	"Posted"
"6"	"NIGHT"	"19:00"	"Autoridad"	"Creamos soluciones para negocios reales"	"assets/social/active-feed/07-soluciones-reales.jpg"	"Todo lo que YC Systems construye nace de problemas reales: seguimiento, ventas, reservas, clientes, rutas, reportes, pagos, contenido y operaciones. La meta es que la tecnologia trabaje para el negocio."	"Cuentame que proceso quieres mejorar."	"https://ycsystems.io/contact/"	"Posted"
"7"	"AM"	"09:00"	"Venta"	"Un CRM evita que pierdas oportunidades"	"assets/social/active-feed/08-crm-oportunidades.jpg"	"Muchos negocios pierden ventas porque no saben quien pregunto, quien falta por llamar o que paso sigue. Un CRM convierte conversaciones en seguimiento medible y accionable."	"Escribe CRM si quieres organizar tus clientes."	"https://ycsystems.io/contact/"	"Posted"
